Date,Open,High,Low,Close,Volume,MA5,MA3
2024-01-01,18860.0,20150.0,18500.0,18960.0,3314238.13556673,,
2024-01-02,18960.0,19480.0,18410.0,18640.0,1372498.25009721,,
2024-01-03,18640.0,18850.0,15080.0,16980.0,1636114.73224453,,18193.333333333332
2024-01-04,17000.0,17610.0,16340.0,17310.0,1442369.49572938,,17643.333333333332
2024-01-05,17310.0,17380.0,15860.0,16570.0,614318.40405658,17692.0,16953.333333333332
2024-01-06,16570.0,16570.0,15630.0,16280.0,342104.57424875,17156.0,16720.0
2024-01-07,16280.0,16550.0,14980.0,15200.0,540117.13585814,16468.0,16016.666666666666
2024-01-08,15190.0,16200.0,14080.0,16130.0,847194.72512054,16298.0,15870.0
2024-01-09,16130.0,16190.0,14970.0,15620.0,453564.84065787,15960.0,15650.0
2024-01-10,15610.0,17200.0,14870.0,16870.0,865608.42804412,16020.0,16206.666666666666
2024-01-11,16870.0,18000.0,16690.0,17850.0,2105024.5093408,16334.0,16780.0
2024-01-12,17820.0,18450.0,16490.0,17140.0,1391101.98218765,16722.0,17286.666666666668
2024-01-13,17100.0,17320.0,16250.0,16990.0,456935.41005296,16894.0,17326.666666666668
2024-01-14,16990.0,17150.0,16290.0,16340.0,391040.68106596,17038.0,16823.333333333332
2024-01-15,16330.0,16770.0,16280.0,16420.0,265618.31772634,16948.0,16583.333333333332
2024-01-16,16450.0,16780.0,16260.0,16700.0,262325.29523173,16718.0,16486.666666666668
2024-01-17,16710.0,17480.0,16210.0,16400.0,843991.44932703,16570.0,16506.666666666668
2024-01-18,16370.0,16900.0,15810.0,16020.0,894847.5549712,16376.0,16373.333333333334
2024-01-19,16020.0,16160.0,15050.0,15900.0,457719.21780341,16288.0,16106.666666666666
2024-01-20,15890.0,16160.0,15630.0,16150.0,154230.03874906,16234.0,16023.333333333334
2024-01-21,16150.0,16390.0,16000.0,16040.0,169147.77863698,16102.0,16030.0
2024-01-22,16040.0,16270.0,14680.0,14700.0,522670.7805163,15762.0,15630.0
2024-01-23,14730.0,14880.0,13600.0,14490.0,637873.64210589,15456.0,15076.666666666666
