Date,Open,High,Low,Close,Volume,MA5,MA3
2024-01-02,58839000.0,60997000.0,58814000.0,60206000.0,8221.19868374,,
2024-01-03,60205000.0,60799000.0,54346000.0,58581000.0,16310.30692586,,
2024-01-04,58581000.0,60162000.0,57319000.0,59477000.0,6254.53768656,,59421333.333333336
2024-01-05,59477000.0,59695000.0,57577000.0,59351000.0,4822.3896766,,59136333.333333336
2024-01-06,59351000.0,59518000.0,58651000.0,59329000.0,2482.6262327,59388800.0,59385666.666666664
2024-01-07,59329000.0,59879000.0,58630000.0,59108000.0,3285.09256035,59169200.0,59262666.666666664
2024-01-08,59105000.0,63410000.0,57801000.0,63010000.0,11161.48689391,60055000.0,60482333.333333336
2024-01-09,63011000.0,64385000.0,60748000.0,62014000.0,9882.55128738,60562400.0,61377333.333333336
2024-01-10,62001000.0,65000000.0,59730000.0,63621000.0,16442.71360776,61416400.0,62881666.666666664
2024-01-11,63621000.0,66779000.0,62246000.0,63550000.0,14392.35118741,62260600.0,63061666.666666664
2024-01-12,63560000.0,63820000.0,58200000.0,59435000.0,11517.51602146,62326000.0,62202000.0
2024-01-13,59430000.0,59860000.0,58174000.0,58968000.0,5542.07595015,61517600.0,60651000.0
2024-01-14,58968000.0,59254000.0,57312000.0,57391000.0,3950.54738176,60593000.0,58598000.0
2024-01-15,57380000.0,59340000.0,57332000.0,58354000.0,3967.32180816,59539600.0,58237666.666666664
2024-01-16,58416000.0,59577000.0,58169000.0,59196000.0,3748.9674189,58668800.0,58313666.666666664
2024-01-17,59218000.0,59300000.0,58269000.0,58776000.0,2837.33448993,58537000.0,58775333.333333336
2024-01-18,58776000.0,58900000.0,56754000.0,57284000.0,4268.88383965,58200200.0,58418666.666666664
2024-01-19,57281000.0,58180000.0,55935000.0,57739000.0,5634.88177074,58269800.0,57933000.0
2024-01-20,57738000.0,57796000.0,57242000.0,57517000.0,2127.46454183,58102400.0,57513333.333333336
2024-01-21,57550000.0,57942000.0,57350000.0,57387000.0,2003.6715815,57740600.0,57547666.666666664
2024-01-22,57392000.0,57543000.0,54659000.0,54689000.0,6334.41138362,56923200.0,56531000.0
